,urls
136,https://www.cnn.com/2022/03/04/business/lukoil-end-war/index.html
137,https://www.cnn.com/2022/03/04/europe/ukraine-sick-children-train-evacuation-intl-cmd/index.html
138,https://www.cnn.com/2022/03/04/politics/us-ukraine-intelligence/index.html
139,https://www.cnn.com/2022/03/04/opinions/putins-war-ukraine-kremlin-power-london/index.html
140,https://www.cnn.com/2022/03/05/business/russia-gas-eu-ukraine-energy-climate-cmd-intl/index.html
141,https://www.cnn.com/2022/03/03/sport/winter-paralympics-preview-ukraine-russia-spt-intl/index.html
142,https://www.cnn.com/2022/03/05/politics/joe-biden-russia-ukraine-war/index.html
143,https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-03-05-22/h_4a7f0f0cb2e6d9dd3d245de0932c824c
144,https://www.cnn.com/2022/03/05/europe/ukraine-kyiv-american-stays-defend-invs/index.html
145,https://www.cnn.com/2022/03/05/opinions/israel-russia-ukraine-balancing-act-miller/index.html
146,https://www.cnn.com/2022/03/06/politics/trump-putin-ukraine/index.html
147,https://www.cnn.com/2022/03/05/opinions/sports-world-reaction-putin-berglund/index.html
148,https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-03-05-22/index.html
149,https://www.cnn.com/2022/03/06/politics/us-officials-action-ukraine/index.html
150,https://www.cnn.com/2022/03/07/politics/vladimir-putin-ukraine-carnage-analysis/index.html
151,https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-03-06-22/h_62749b6c8381bc5ccd7d999fbc1d80b2
152,https://www.cnn.com/2022/03/04/europe/nato-no-fly-zone-ukraine-intl-cmd/index.html
153,https://www.cnn.com/2022/03/06/politics/russia-ukraine-antony-blinken-cnntv/index.html
154,https://www.cnn.com/2022/03/06/us/ukraine-new-york-college-student/index.html
155,https://www.cnn.com/2022/03/06/opinions/trump-russia-ukraine-rnc-obeidallah/index.html
156,https://www.cnn.com/2022/03/06/media/reliable-sources-social-media-videos-geolocating/index.html
157,https://www.cnn.com/2022/03/06/media/russia-ukraine-press-reliable-sources/index.html
158,https://www.cnn.com/2022/03/06/media/snl-fox-news-ukraine-russia-cold-open/index.html
159,https://www.cnn.com/2022/03/06/us/san-antonio-bakery-donates-ukraine-texas/index.html
160,https://www.cnn.com/2022/03/07/europe/ukraine-russia-weekend-summary-intl/index.html
161,https://www.cnn.com/2022/03/07/europe/russia-z-symbol-ukraine-war-cmd-intl/index.html
162,https://www.cnn.com/2022/03/07/europe/ukraine-hotline-russian-soldiers-intl-cmd/index.html
163,https://www.cnn.com/2022/03/06/europe/ukraine-russia-invasion-sunday-intl-hnk/index.html
164,https://www.cnn.com/2022/03/07/politics/putin-totalitarianism-russia-ukraine-what-matters/index.html
165,https://www.cnn.com/2022/03/06/politics/ukraine-government-exile-us-europe/index.html
166,https://www.cnn.com/2022/03/06/politics/mark-milley-ukraine-military-assistance/index.html
167,https://www.cnn.com/2022/03/07/tennis/worlds-oldest-tennis-player-ukraine-war-zone-spt-intl/index.html
168,https://www.cnn.com/2022/03/05/business/russian-tea-room-ukraine-invasion/index.html
169,https://www.cnn.com/2022/03/07/europe/zaporizhzhia-evacuation-train-station-intl/index.html
170,https://www.cnn.com/style/article/ukraine-lviv-saving-art-museums-cultural-treasures/index.html
171,https://www.cnn.com/2022/03/07/entertainment/angelina-jolie-yemen/index.html
172,https://www.cnn.com/2022/03/07/tech/netflix-tiktok-russia/index.html
173,https://www.cnn.com/style/article/gigi-hadid-fashion-week-earnings-ukraine-donations-intl-scli/index.html
174,https://www.cnn.com/2022/03/08/politics/zelensky-ukraine-western-red-lines-analysis/index.html
175,https://www.cnn.com/2022/03/07/europe/russia-southern-ukraine-military-analysis-intl/index.html
176,https://www.cnn.com/2022/03/08/europe/kyiv-defense-ukraine-russia-intl-cmd/index.html
